Id,SalePrice
1461,119096.46239912398
1462,161498.8647856618
1463,183015.02523546453
1464,192902.11825547414
1465,196390.21385625418
1466,171598.17618684398
1467,175740.4013128873
1468,165404.91283190227
1469,180161.78205086113
1470,126985.75566031157
1471,185575.897308207
1472,95795.63001567473
1473,97854.53200461475
1474,145373.075874742
1475,115322.93590779384
1476,382401.39469168446
1477,255085.58109093335
1478,280555.403190515
1479,282602.9090667227
1480,507441.76645154506
1481,346091.6206126004
1482,206830.83857529497
1483,180178.22582474104
1484,167122.83550032123
1485,188195.6805701689
1486,196113.7202333851
1487,355137.7680508783
1488,235838.21330135208
1489,197304.82926413152
1490,241053.43456962632
1491,188971.29234896373
1492,90921.33935870654
1493,178779.60449529035
1494,290895.37002796767
1495,284488.3079387898
1496,240966.28330912857
1497,180878.294768982
1498,168398.5348309481
1499,158172.22505566775
1500,157226.50912100752
1501,181875.33779283825
1502,147584.15213500214
1503,282981.4386163568
1504,240452.94525321943
1505,228406.2950418986
1506,193414.91159198558
1507,247960.1781699509
1508,194187.79092376982
1509,162092.73104078017
1510,144269.64259416482
1511,149790.53531396223
1512,173379.53610384208
1513,144604.26264705084
1514,153260.7227112282
1515,187367.2492340823
1516,148933.06547348335
1517,166382.58921937956
1518,130520.25651179343
1519,221065.70762868386
1520,134175.2146087903
1521,138753.34389270164
1522,173016.64669056612
1523,115769.09727813644
1524,129062.54286155984
1525,121282.66860770962
1526,111227.61974511924
1527,108325.99224231247
1528,137871.02272211775
1529,156527.75570070688
1530,182682.8488143369
1531,107671.35738475618
1532,94836.63474893711
1533,147432.372414797
1534,123161.1856135836
1535,152638.083001719
1536,104588.29137432687
1537,63744.20274904557
1538,144795.77949456006
1539,198545.01573632986
1540,90249.48810694844
1541,147935.6634417946
1542,139615.78052009916
1543,203616.1889232202
1544,84952.5263868515
1545,110548.48227858174
1546,128748.40845076731
1547,132009.65331365107
1548,133974.69944359275
1549,119850.51142241822
1550,130926.00867881271
1551,109501.90744694193
1552,136793.12090352862
1553,156358.38612711628
1554,119277.3721951847
1555,170635.80390583168
1556,88247.74049483943
1557,101089.63265779696
1558,101731.49149858908
1559,74283.20095679855
1560,123472.29666651522
1561,124384.78010033333
1562,125295.41154478838
1563,119799.51379093029
1564,160437.11639481143
1565,144988.89587985224
1566,246611.40110722007
